pokemon,requires
Caterpie,12
Weedle,12
Pidgey,12
Bulbasaur,25
Charmander,25
Squirtle,25
Rattata,25
Nidoran_,25
Nidoran_,25
Oddish,25
Poliwag,25
Abra,25
Machop,25
Bellsprout,25
Geodude,25
Gastly,25
Eevee,25
Dratini,25
Metapod,50
Kakuna,50
Pidgeotto,50
Spearow,50
Ekans,50
Pikachu,50
Sandshrew,50
Clefairy,50
Vulpix,50
Jigglypuff,50
Zubat,50
Paras,50
Venonat,50
Diglett,50
Meowth,50
Psyduck,50
Mankey,50
Growlithe,50
Tentacool,50
Ponyta,50
Slowpoke,50
Magnemite,50
Doduo,50
Seel,50
Grimer,50
Shellder,50
Drowzee,50
Krabby,50
Voltorb,50
Exeggcute,50
Cubone,50
Koffing,50
Rhyhorn,50
Horsea,50
Goldeen,50
Staryu,50
Omanyte,50
Kabuto,50
Ivysaur,100
Charmeleon,100
Wartortle,100
Nidorina,100
Nidorino,100
Gloom,100
Poliwhirl,100
Kadabra,100
Machoke,100
Weepinbell,100
Graveler,100
Haunter,100
Dragonair,100
Magikarp,400
